iter	Passed	Remaining
0	1	134
1	2	138
2	4	131
3	5	122
4	6	116
5	7	114
6	8	115
7	10	116
8	12	128
9	15	135
10	16	134
11	20	150
12	22	152
13	24	150
14	25	146
15	27	142
16	28	137
17	29	132
18	30	129
19	31	125
20	32	124
21	34	121
22	35	120
23	37	119
24	38	116
25	40	114
26	41	112
27	43	110
28	44	109
29	45	106
30	47	104
31	48	102
32	49	100
33	51	99
34	53	99
35	54	96
36	55	94
37	57	93
38	58	91
39	60	90
40	61	88
41	62	85
42	63	83
43	64	81
44	65	80
45	66	78
46	67	76
47	68	74
48	69	72
49	71	71
50	72	70
51	74	69
52	76	68
53	79	67
54	80	66
55	82	64
56	83	63
57	85	61
58	87	60
59	89	59
60	91	58
61	92	56
62	94	55
63	95	53
64	97	52
65	98	50
66	99	49
67	100	47
68	102	45
69	106	45
70	108	44
71	109	42
72	110	41
73	111	39
74	112	37
75	114	36
76	115	34
77	117	33
78	118	31
79	119	29
80	121	28
81	122	26
82	123	25
83	124	23
84	125	22
85	126	20
86	127	19
87	129	17
88	129	16
89	131	14
90	133	13
91	134	11
92	135	10
93	136	8
94	137	7
95	138	5
96	139	4
97	140	2
98	142	1
99	143	0
